"Date
▼",Visitor/Neutral,PTS,Home/Neutral,PTS
3/1/2023,Cleveland Cavaliers,113,Boston Celtics,117
3/1/2023,Philadelphia 76ers,119,Miami Heat,96
3/1/2023,Brooklyn Nets,118,New York Knicks,142
3/1/2023,Memphis Grizzlies,113,Houston Rockets,99
3/1/2023,Orlando Magic,117,Milwaukee Bucks,139
3/1/2023,Los Angeles Lakers,123,Oklahoma City Thunder,117
3/1/2023,New Orleans Pelicans,121,Portland Trail Blazers,110
3/2/2023,Toronto Raptors,108,Washington Wizards,119
3/2/2023,Philadelphia 76ers,126,Dallas Mavericks,133
3/2/2023,Indiana Pacers,99,San Antonio Spurs,110
3/2/2023,Los Angeles Clippers,91,Golden State Warriors,115
3/3/2023,Orlando Magic,117,Charlotte Hornets,106
3/3/2023,Portland Trail Blazers,111,Atlanta Hawks,129
3/3/2023,Brooklyn Nets,115,Boston Celtics,105
3/3/2023,Phoenix Suns,125,Chicago Bulls,104
3/3/2023,New York Knicks,122,Miami Heat,120
3/3/2023,Utah Jazz,103,Oklahoma City Thunder,130
3/3/2023,Memphis Grizzlies,97,Denver Nuggets,113
3/3/2023,New Orleans Pelicans,99,Golden State Warriors,108
3/3/2023,Los Angeles Clippers,127,Sacramento Kings,128
3/3/2023,Minnesota Timberwolves,110,Los Angeles Lakers,102
3/4/2023,Toronto Raptors,116,Washington Wizards,109
3/4/2023,Detroit Pistons,90,Cleveland Cavaliers,114
3/4/2023,Atlanta Hawks,109,Miami Heat,117
3/4/2023,Houston Rockets,122,San Antonio Spurs,110
3/4/2023,Philadelphia 76ers,133,Milwaukee Bucks,130
3/4/2023,Minnesota Timberwolves,138,Sacramento Kings,134
3/5/2023,Phoenix Suns,130,Dallas Mavericks,126
3/5/2023,Indiana Pacers,125,Chicago Bulls,122
3/5/2023,Golden State Warriors,105,Los Angeles Lakers,113
3/5/2023,Charlotte Hornets,86,Brooklyn Nets,102
3/5/2023,Portland Trail Blazers,122,Orlando Magic,119
3/5/2023,San Antonio Spurs,110,Houston Rockets,142
3/5/2023,Utah Jazz,119,Oklahoma City Thunder,129
3/5/2023,New York Knicks,131,Boston Celtics,129
3/5/2023,Milwaukee Bucks,117,Washington Wizards,111
3/5/2023,Memphis Grizzlies,129,Los Angeles Clippers,135
3/6/2023,Boston Celtics,114,Cleveland Cavaliers,118
3/6/2023,Portland Trail Blazers,110,Detroit Pistons,104
3/6/2023,Philadelphia 76ers,147,Indiana Pacers,143
3/6/2023,Atlanta Hawks,128,Miami Heat,130
3/6/2023,Toronto Raptors,113,Denver Nuggets,118
3/6/2023,New Orleans Pelicans,108,Sacramento Kings,123
3/7/2023,Washington Wizards,119,Detroit Pistons,117
3/7/2023,Milwaukee Bucks,134,Orlando Magic,123
3/7/2023,Philadelphia 76ers,117,Minnesota Timberwolves,94
3/7/2023,Charlotte Hornets,112,New York Knicks,105
3/7/2023,Brooklyn Nets,118,Houston Rockets,96
3/7/2023,Golden State Warriors,128,Oklahoma City Thunder,137
3/7/2023,Utah Jazz,116,Dallas Mavericks,120
3/7/2023,Memphis Grizzlies,103,Los Angeles Lakers,112
3/8/2023,Atlanta Hawks,122,Washington Wizards,120
3/8/2023,Portland Trail Blazers,93,Boston Celtics,115
3/8/2023,Cleveland Cavaliers,104,Miami Heat,100
3/8/2023,Dallas Mavericks,106,New Orleans Pelicans,113
3/8/2023,Chicago Bulls,117,Denver Nuggets,96
3/8/2023,Oklahoma City Thunder,101,Phoenix Suns,132
3/8/2023,Toronto Raptors,100,Los Angeles Clippers,108
3/9/2023,Charlotte Hornets,113,Detroit Pistons,103
3/9/2023,Houston Rockets,125,Indiana Pacers,134
3/9/2023,Utah Jazz,131,Orlando Magic,124
3/9/2023,Golden State Warriors,110,Memphis Grizzlies,131
3/9/2023,Brooklyn Nets,113,Milwaukee Bucks,118
3/9/2023,New York Knicks,117,Sacramento Kings,122
3/10/2023,Portland Trail Blazers,119,Philadelphia 76ers,120
3/10/2023,Atlanta Hawks,114,Washington Wizards,107
3/10/2023,Cleveland Cavaliers,115,Miami Heat,119
3/10/2023,Brooklyn Nets,124,Minnesota Timberwolves,123
3/10/2023,Denver Nuggets,120,San Antonio Spurs,128
3/10/2023,Toronto Raptors,112,Los Angeles Lakers,122
3/11/2023,New York Knicks,95,Los Angeles Clippers,106
3/11/2023,Utah Jazz,119,Charlotte Hornets,111
3/11/2023,Indiana Pacers,121,Detroit Pistons,115
3/11/2023,Miami Heat,114,Orlando Magic,126
3/11/2023,Boston Celtics,134,Atlanta Hawks,125
3/11/2023,Chicago Bulls,119,Houston Rockets,111
3/11/2023,Dallas Mavericks,108,Memphis Grizzlies,112
3/11/2023,Milwaukee Bucks,116,Golden State Warriors,125
3/11/2023,Oklahoma City Thunder,110,New Orleans Pelicans,96
3/11/2023,Sacramento Kings,128,Phoenix Suns,119
3/12/2023,Brooklyn Nets,122,Denver Nuggets,120
3/12/2023,Cleveland Cavaliers,114,Charlotte Hornets,108
3/12/2023,Washington Wizards,93,Philadelphia 76ers,112
3/12/2023,Portland Trail Blazers,110,New Orleans Pelicans,127
3/12/2023,Oklahoma City Thunder,102,San Antonio Spurs,90
3/12/2023,New York Knicks,112,Los Angeles Lakers,108
3/13/2023,Indiana Pacers,97,Detroit Pistons,117
3/13/2023,Minnesota Timberwolves,136,Atlanta Hawks,115
3/13/2023,Memphis Grizzlies,104,Dallas Mavericks,88
3/13/2023,Utah Jazz,115,Miami Heat,119
