,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_W_PCT,Visitor_E_OFF_RATING,Visitor_E_DEF_RATING,Visitor_E_NET_RATING,Visitor_E_PACE,Visitor_E_AST_RATIO,Visitor_E_OREB_PCT,Visitor_E_DREB_PCT,Visitor_E_REB_PCT,Visitor_E_TM_TOV_PCT,Home_E_OFF_RATING,Home_E_DEF_RATING,Home_E_NET_RATING,Home_E_PACE,Home_E_AST_RATIO,Home_E_OREB_PCT,Home_E_DREB_PCT,Home_E_REB_PCT,Home_E_TM_TOV_PCT,Visitor_TS%,Visitor_3P%,Home_TS%,Home_3P%
59,Cleveland Cavaliers,128,Chicago Bulls,96,0.0,0.622,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,116.60%,36.70%,116.30%,36.50%
60,Cleveland Cavaliers,103,Chicago Bulls,102,1.0,0.622,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,116.60%,36.70%,116.30%,36.50%
61,Dallas Mavericks,115,Chicago Bulls,144,0.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,118.80%,37.60%,116.30%,36.50%
62,San Antonio Spurs,104,Chicago Bulls,128,0.0,0.268,107.2,117.7,-10.5,104.1,18.7,0.256,0.749,0.493,0.145,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,110.10%,34.40%,116.30%,36.50%
63,Brooklyn Nets,87,Chicago Bulls,131,1.0,0.549,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,118.10%,37.40%,116.30%,36.50%
64,Toronto Raptors,97,Chicago Bulls,111,1.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,110.00%,33.50%,116.30%,36.50%
65,Boston Celtics,102,Chicago Bulls,120,0.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,118.90%,37.80%,116.30%,36.50%
66,Boston Celtics,107,Chicago Bulls,121,0.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,118.90%,37.80%,116.30%,36.50%
67,Portland Trail Blazers,121,Chicago Bulls,129,0.0,0.402,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,116.80%,36.90%,116.30%,36.50%
68,Phoenix Suns,125,Chicago Bulls,104,1.0,0.549,112.1,110.1,2.1,100.8,19.3,0.266,0.76,0.508,0.134,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.60%,35.20%,116.30%,36.50%
69,Milwaukee Bucks,113,Chicago Bulls,119,0.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,115.80%,36.30%,116.30%,36.50%
70,Milwaukee Bucks,112,Chicago Bulls,100,1.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,115.80%,36.30%,116.30%,36.50%
71,Philadelphia 76ers,112,Toronto Raptors,90,0.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,119.20%,37.90%,110.00%,33.50%
72,Philadelphia 76ers,109,Toronto Raptors,119,0.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,119.20%,37.90%,110.00%,33.50%
73,Memphis Grizzlies,119,Toronto Raptors,106,1.0,0.622,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,112.20%,34.60%,110.00%,33.50%
74,Atlanta Hawks,109,Toronto Raptors,139,0.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,114.50%,35.30%,110.00%,33.50%
75,Detroit Pistons,118,Toronto Raptors,119,0.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,,,110.00%,33.50%
76,Detroit Pistons,97,Toronto Raptors,118,1.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,,,110.00%,33.50%
77,Houston Rockets,109,Toronto Raptors,116,0.0,0.268,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,109.80%,33.00%,110.00%,33.50%
78,Sacramento Kings,124,Toronto Raptors,123,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,119.30%,38.40%,110.00%,33.50%
79,Indiana Pacers,118,Toronto Raptors,114,1.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,115.30%,35.60%,110.00%,33.50%
80,Minnesota Timberwolves,107,Toronto Raptors,122,0.0,0.512,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,117.10%,37.10%,110.00%,33.50%
81,Denver Nuggets,110,Toronto Raptors,125,0.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,119.00%,37.90%,110.00%,33.50%
82,New Orleans Pelicans,110,Toronto Raptors,115,0.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,115.40%,35.90%,110.00%,33.50%
83,Golden State Warriors,126,Toronto Raptors,110,1.0,0.537,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,117.90%,37.30%,110.00%,33.50%
84,Orlando Magic,108,Toronto Raptors,121,0.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.50%,35.10%,110.00%,33.50%
85,Orlando Magic,113,Toronto Raptors,123,0.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.50%,35.10%,110.00%,33.50%
86,Washington Wizards,104,Toronto Raptors,114,0.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,116.00%,36.50%,110.00%,33.50%
87,Miami Heat,104,Toronto Raptors,112,0.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.40%,34.80%,110.00%,33.50%
